CountryName,RegionName,Date,PredictedDailyNewCases
Brazil,,2020-08-01,50037.480206087086
Brazil,,2020-08-02,25466.626864434285
Chile,,2020-08-01,2239.3482949329286
Chile,,2020-08-02,2150.606589806413
United Kingdom,,2020-08-01,861.4589842807544
United Kingdom,,2020-08-02,837.2785421864157
India,,2020-08-01,57520.550524305625
India,,2020-08-02,59253.49595014372
Iran,,2020-08-01,2483.2521429041685
Iran,,2020-08-02,2522.9778260046846
Mexico,,2020-08-01,7050.844507590784
Mexico,,2020-08-02,5855.553286897861
Peru,,2020-08-01,290.6858027685016
Peru,,2020-08-02,256.516638553151
Russia,,2020-08-01,5877.76201261126
Russia,,2020-08-02,5856.291191761205
United States,,2020-08-01,64818.880068877115
United States,,2020-08-02,57129.97572882211
South Africa,,2020-08-01,11883.361051414024
South Africa,,2020-08-02,11066.59389287753
